Location,Handle,Text,Geo,Place
Ashburn,tekmasters,TekMasters is hiring!  Apply now for the position of Settlements Officer - Developmental https://t.co/oI55FrvzTW,,NULL
Ashburn,tekmasters,TekMasters is hiring!  Apply now for the position of Multimedia Specialist https://t.co/ouyWz0Dm4N,,NULL
Ashburn,Deflorate_,My dad told me he didn't want to buy me food rude as fuck what the hell,,NULL
Ashburn,NVICLoeDown,Glyphosate Weed Killler in Childhood Vaccines https://t.co/zb1AkoND17,,NULL
Ashburn,techfetch,"#Hiring Senior SYSTEM/BUSINESS ANALYST @ New York, NY https://t.co/7qkpibiIny #Jobs #TechJobs #NewYorkJobs",,NULL
Ashburn,PrincipalDerby,"The NED show comes to Cedar Grove. Thanks, PTA https://t.co/QH8JjuLZw6",,NULL
Ashburn,kfulton6233,RT @BrentBozell: Clinton Foundation 'a classic RICO case' https://t.co/Si9aw8ztfF,,NULL
Ashburn,M_W_19,@AirRetro_DK5 @JLo oh my...,,"Stone Ridge, VA"
Ashburn,RMadridHooligan,@le_asian idk how you do it..,,"Sterling, VA"
Ashburn,LuissVasquez,"The second ""S"" in my @ stands for something.",,"Chantilly, VA"
Ashburn,_Ramone876,RT @davidneumaier13: City beat Barca on Tuesday and united are losing to Fenerbahce on Thursday. Absolutely beautiful #mcfc,,NULL
Ashburn,megentripodi,"rip goat filter, gone but never forgotten https://t.co/6gd9in1k44",,NULL
Ashburn,Ssj102,@mcentire_media December for me....two shows....,,NULL
Ashburn,UhhKeeno,I always love these #monthinmusic reports from @Spotify always good to see what I'm listening to month to month https://t.co/qCnB7rLY0j,,NULL
Ashburn,akarhuse,.@NASSP &amp; other members of Advocates for #Literacy call on Congress to fund the LEARN program in FY 2017: https://t.co/z4sbAlZUtv,,NULL
Ashburn,denisecanady1,RT @BrentBozell: Clinton Foundation 'a classic RICO case' https://t.co/Si9aw8ztfF,,NULL
Ashburn,karma4you,@DrJillStein @HillaryLostMe The politics of integrity!  Does that include trashing your other candidates on irrelevant matters. ROFLMAO.,,NULL
Ashburn,johncarls,Ads suck. Twitch could also charge you to stream or make you sub to all channels you watch etc. I'd rather them pay the bills with ads,,NULL
Ashburn,tmj_was_adv,"Want to work in #Herndon, VA? View our latest opening: https://t.co/fH0PLxtTpI #Job #Marketing #Jobs #Hiring #CareerArc","{u'type': u'Point', u'coordinates': [38.9695545, -77.3860976]}","Herndon, VA"
Ashburn,FreeBandJam,boss Ya life up x10,,"Germantown, MD"
Ashburn,Maimah,Help make my #bucketlist come true: 1)Publish new book 2)Sell 5 million copies; 3)Chat w/ @oprah @supersoulsunday 4)Inspire others globally.,,NULL
Ashburn,FlorisSchool,RT @FESGinn: Spending time reviewing world geography on google classroom. What continent is Carmen visiting?? https://t.co/a0UGJQ5Atk,,NULL
